S1_Temp,S2_Temp,S3_Temp,S4_Temp,S1_Light,S2_Light,S3_Light,S4_Light,S1_Sound,S2_Sound,S3_Sound,S4_Sound,S5_CO2,S5_CO2_Slope,S6_PIR,S7_PIR,Room_Occupancy_Count
24.94,24.75,24.56,25.38,121,34,53,40,0.08,0.19,0.06,0.06,390,0.769230769231,0,0,1
24.94,24.75,24.56,25.44,121,33,53,40,0.93,0.05,0.06,0.06,390,0.646153846154,0,0,1
25,24.75,24.5,25.44,121,34,53,40,0.43,0.11,0.08,0.06,390,0.519230769231,0,0,1
25,24.75,24.56,25.44,121,34,53,40,0.41,0.1,0.1,0.09,390,0.388461538462,0,0,1
25,24.75,24.56,25.44,121,34,54,40,0.18,0.06,0.06,0.06,390,0.253846153846,0,0,1
25,24.81,24.56,25.44,121,34,54,40,0.13,0.06,0.06,0.07,390,0.165384615385,0,0,1
25,24.75,24.56,25.44,120,34,54,40,1.39,0.32,0.43,0.06,390,0.0769230769231,1,0,1
25,24.81,24.56,25.44,121,34,54,41,0.09,0.06,0.09,0.05,390,-0.0115384615385,0,0,1
25,24.81,24.56,25.5,122,35,56,43,0.09,0.05,0.06,0.13,390,-0.1,0,0,1
25,24.81,24.56,25.5,101,34,57,43,3.84,0.64,0.48,0.39,390,-0.188461538462,1,1,1
25.06,24.81,24.56,25.44,122,35,57,43,2.2,0.31,0.33,0.21,390,-0.276923076923,1,1,1
25.06,24.81,24.56,25.5,123,35,57,44,0.42,0.13,0.14,0.09,390,-0.365384615385,1,0,1
25.06,24.88,24.63,25.5,123,35,57,43,0.21,0.15,0.07,0.06,390,-0.453846153846,1,0,1
25.06,24.81,24.63,25.56,123,35,57,44,1.66,0.21,0.12,0.09,390,-0.542307692308,1,0,1
25.06,24.88,24.63,25.56,123,35,58,44,0.57,0.17,0.21,0.13,390,-0.630769230769,1,0,1
25.06,24.88,24.63,25.56,123,35,58,44,0.14,0.17,0.15,0.06,390,-0.719230769231,1,0,1
25.06,24.88,24.63,25.56,122,35,58,44,0.24,0.05,0.1,0.05,395,-0.711538461538,0,0,1
25.06,24.81,24.63,25.56,122,35,57,44,0.25,0.07,0.07,0.05,395,-0.653846153846,1,0,1
25.06,24.81,24.63,25.56,123,35,58,44,0.23,0.07,0.08,0.06,395,-0.542307692308,1,0,1
25.06,24.88,24.63,25.5,123,35,58,45,0.13,0.06,0.06,0.06,395,-0.373076923077,0,0,1
25.13,24.88,24.63,25.5,123,35,58,44,0.13,0.04,0.06,0.06,390,-0.238461538462,0,0,1
25.06,24.88,24.63,25.56,123,35,57,44,0.15,0.05,0.06,0.06,395,-0.0923076923077,0,0,1
25.13,24.88,24.63,25.56,123,35,58,45,0.11,0.05,0.06,0.06,395,0.0615384615385,0,0,1
25.13,24.88,24.63,25.56,123,35,58,45,1.31,0.12,0.08,0.07,400,0.319230769231,0,0,1
25.13,24.88,24.63,25.5,124,35,59,45,0.11,0.12,0.06,0.06,400,0.334615384615,0,0,1
25.13,24.88,24.69,25.5,123,35,58,45,1.57,0.08,0.07,0.14,400,0.388461538462,1,0,1
25.13,24.88,24.69,25.5,123,35,59,44,0.21,0.19,0.17,0.07,405,0.480769230769,1,0,1
25.13,24.88,24.69,25.56,123,35,58,44,0.44,0.13,0.17,0.09,410,0.607692307692,1,0,1
25.13,24.88,24.69,25.56,123,35,58,44,0.46,0.14,0.16,0.07,410,0.719230769231,1,0,1
25.13,24.88,24.69,25.56,123,35,58,45,0.98,0.25,0.19,0.16,405,0.769230769231,1,0,1
25.19,24.88,24.69,25.56,123,35,58,44,0.15,0.13,0.23,0.06,405,0.807692307692,0,0,1
25.19,24.88,24.69,25.56,123,35,58,45,0.08,0.08,0.07,0.06,400,0.788461538462,0,0,1
25.19,24.88,24.69,25.56,123,35,58,44,0.09,0.05,0.07,0.08,410,0.853846153846,1,0,1
25.19,24.88,24.69,25.56,123,35,58,44,0.37,0.16,0.18,0.05,410,0.903846153846,0,0,1
25.19,24.88,24.69,25.69,122,35,59,44,0.08,0.06,0.06,0.06,405,0.892307692308,0,0,1
25.19,24.88,24.69,25.63,122,35,58,44,0.93,0.05,0.06,0.14,410,0.915384615385,0,0,1
25.19,24.88,24.69,25.63,123,35,57,44,0.07,0.24,0.06,0.06,410,0.923076923077,0,0,1
25.19,24.94,24.69,25.56,123,35,58,44,0.07,0.05,0.05,0.06,415,0.961538461538,0,0,1
25.19,24.88,24.69,25.56,123,35,58,44,0.08,0.05,0.05,0.06,420,1.02692307692,0,0,1
25.19,24.94,24.69,25.56,123,35,57,43,0.08,0.05,0.06,0.06,425,1.11538461538,0,0,1
25.19,24.94,24.75,25.56,123,35,57,44,1.27,0.06,0.11,0.13,425,1.17692307692,0,0,1
25.19,24.94,24.69,25.63,123,35,59,45,0.08,0.26,0.21,0.07,420,1.21538461538,0,0,1
25.19,24.94,24.75,25.63,123,36,59,45,0.1,0.08,0.09,0.06,420,1.23461538462,0,0,1
25.19,24.94,24.69,25.63,123,35,59,45,0.46,0.16,0.21,0.11,420,1.23461538462,1,0,1
25.19,24.88,24.69,25.63,123,35,59,45,0.42,0.19,0.16,0.09,420,1.21538461538,0,0,1
25.19,24.94,24.75,25.63,124,35,60,46,0.17,0.05,0.06,0.06,425,1.17307692308,0,0,1
25.19,24.94,24.75,25.63,124,36,61,47,1.44,0.12,0.15,0.09,430,1.2,0,0,1
25.25,24.94,24.75,25.63,124,36,61,46,0.76,0.27,0.24,0.13,430,1.2,1,0,1
25.25,24.94,24.75,25.63,124,36,61,46,0.16,0.06,0.05,0.06,435,1.26923076923,0,0,1
25.25,24.94,24.75,25.56,124,36,60,46,0.09,0.05,0.06,0.06,425,1.21923076923,0,0,1
25.25,24.94,24.75,25.69,123,35,59,45,0.28,0.05,0.07,0.06,425,1.15,0,0,1
25.25,24.94,24.75,25.63,123,35,59,45,0.07,0.07,0.05,0.07,420,1.06538461538,0,0,1
25.25,24.94,24.75,25.63,124,36,60,46,0.28,0.12,0.11,0.08,420,1.01923076923,1,0,1
25.25,24.94,24.75,25.63,123,35,60,45,0.24,0.11,0.14,0.07,420,0.965384615385,0,0,1
25.25,24.94,24.75,25.69,123,35,60,45,0.93,0.14,0.12,0.08,430,0.946153846154,1,0,1
25.25,24.94,24.75,25.69,123,35,60,45,0.1,0.09,0.1,0.06,435,0.953846153846,0,0,1
25.25,24.94,24.81,25.63,123,35,59,45,0.68,0.12,0.11,0.1,430,0.842307692308,0,0,1
25.25,24.94,24.75,25.63,123,35,60,45,0.94,0.12,0.13,0.06,445,0.946153846154,0,0,1
25.25,24.94,24.75,25.56,123,35,59,45,0.12,0.05,0.06,0.07,440,0.976923076923,0,0,1
25.25,25,24.81,25.63,123,35,59,45,0.29,0.08,0.1,0.07,440,0.934615384615,0,0,1
25.25,24.94,24.81,25.69,124,36,61,47,0.83,0.05,0.06,0.08,435,0.869230769231,0,0,1
25.25,25,24.81,25.69,124,36,62,47,1.1,0.1,0.09,0.05,430,0.738461538462,1,0,1
25.25,25,24.81,25.63,124,36,61,46,0.83,0.1,0.11,0.1,435,0.688461538462,0,0,1
25.25,25,24.81,25.69,123,36,60,45,0.48,0.15,0.18,0.11,440,0.719230769231,1,0,1
25.31,25,24.81,25.69,123,35,60,46,0.65,0.08,0.11,0.07,445,0.830769230769,0,0,1
25.31,25,24.81,25.63,123,35,60,45,0.4,0.06,0.08,0.06,445,0.926923076923,0,0,1
25.31,25,24.81,25.63,124,36,60,45,0.49,0.06,0.07,0.07,445,0.957692307692,0,0,1
25.31,25,24.81,25.69,124,35,60,45,0.13,0.1,0.09,0.06,445,0.969230769231,0,0,1
25.31,25,24.81,25.75,124,36,60,46,0.35,0.05,0.05,0.11,440,0.915384615385,0,0,1
25.31,25,24.81,25.75,124,36,63,48,0.17,0.1,0.14,0.06,440,0.846153846154,0,0,1
25.31,25,24.81,25.75,124,37,64,49,1.85,0.19,0.15,0.12,445,0.857692307692,0,0,1
25.31,25,24.81,25.69,124,37,65,49,0.28,0.08,0.08,0.07,445,0.903846153846,1,0,1
25.31,25,24.81,25.75,123,37,64,49,0.36,0.09,0.09,0.09,450,0.984615384615,1,0,1
25.31,25.25,24.88,25.75,123,31,61,46,0.48,0.31,0.53,0.1,450,1.1,1,1,1
25.31,25.63,24.81,25.75,124,29,62,46,0.51,0.55,0.17,0.12,450,1.10384615385,1,1,1
25.38,25.44,24.81,25.69,150,187,63,49,0.46,0.46,0.21,0.11,450,1.08846153846,1,1,2
25.38,25.44,24.81,25.75,153,216,63,49,0.76,0.74,0.15,0.14,450,1.00384615385,1,1,2
25.38,25.44,24.88,25.75,155,234,63,49,1.77,1.08,0.2,0.08,450,0.896153846154,1,1,2
25.38,25.44,24.81,25.75,156,239,64,50,0.8,0.29,0.1,0.09,445,0.719230769231,0,1,2
25.38,25.38,24.81,25.81,157,241,67,53,0.73,0.24,0.1,0.1,445,0.623076923077,0,1,2
25.38,25.38,24.88,25.81,157,242,68,54,1.14,0.33,0.23,0.17,450,0.611538461538,0,1,2
25.38,25.44,24.81,25.81,157,242,69,54,0.58,0.56,0.25,0.16,450,0.538461538462,0,1,2
25.38,25.44,24.88,25.69,158,243,70,54,0.71,0.68,0.27,0.23,455,0.646153846154,1,0,2
25.38,25.44,24.81,25.81,157,242,67,53,0.44,0.63,0.25,0.1,455,0.696153846154,1,0,2
25.38,25.31,24.88,25.75,157,242,68,53,0.23,0.32,0.13,0.11,450,0.688461538462,0,0,2
25.38,25.38,24.88,25.75,157,241,68,53,2.79,0.41,0.2,0.24,450,0.623076923077,1,0,2
25.38,25.38,24.88,25.75,157,241,68,53,0.54,0.55,0.21,0.18,445,0.45,1,0,2
25.38,25.44,24.88,25.75,157,240,69,54,2.49,0.67,0.2,0.12,450,0.361538461538,1,0,2
25.44,25.44,24.88,25.75,157,240,70,54,0.47,0.25,0.14,0.11,450,0.311538461538,1,0,2
25.44,25.38,24.88,25.81,157,239,70,54,3.51,0.38,0.22,0.19,450,0.303846153846,1,0,2
25.44,25.38,24.88,25.81,156,239,70,54,0.73,0.81,0.41,0.17,460,0.384615384615,1,0,2
25.44,25.44,24.88,25.81,157,239,70,54,0.63,0.42,0.21,0.15,460,0.453846153846,0,0,2
25.44,25.5,24.88,25.75,155,236,70,53,1.14,0.56,0.32,0.14,475,0.65,1,1,2
25.44,25.56,24.88,25.75,155,236,68,53,1.02,0.51,0.17,0.17,480,0.819230769231,1,1,2
25.44,25.5,24.88,25.75,155,237,69,54,0.63,0.36,0.18,0.13,480,0.957692307692,0,1,2
25.44,25.56,24.94,25.75,155,236,69,54,1.33,0.78,0.18,0.11,485,1.16153846154,1,1,2
25.44,25.56,24.94,25.81,155,236,70,54,0.17,0.35,0.11,0.07,490,1.38076923077,0,1,2
25.44,25.56,24.94,25.75,155,237,71,55,0.43,0.36,0.21,0.11,500,1.70769230769,1,1,2
25.5,25.56,24.88,25.81,155,237,71,55,1.87,0.56,0.23,0.14,500,1.99615384615,1,1,2
25.5,25.56,24.88,25.81,155,235,72,54,0.73,1.15,0.24,0.17,500,2.24615384615,0,0,2
25.44,25.56,24.94,25.88,155,236,71,54,1.53,1.24,0.36,0.27,500,2.45769230769,1,0,2
25.44,25.56,24.94,25.81,155,235,71,54,2.95,1.27,0.25,0.17,510,2.72307692308,1,1,2
25.5,25.56,24.94,25.81,155,235,70,54,1.78,0.63,0.18,0.08,510,2.94230769231,1,0,2
25.5,25.56,24.94,25.75,155,234,70,54,0.08,0.35,0.07,0.28,515,3.11153846154,0,0,2
25.44,25.63,24.94,25.81,155,234,70,54,0.45,2.12,0.34,0.06,515,3.22692307692,1,0,2
25.5,25.63,24.94,25.81,155,235,71,55,2.01,0.32,0.11,0.09,515,3.33846153846,0,0,2
25.5,25.63,24.94,25.88,155,235,72,55,0.33,0.38,0.1,0.09,520,3.44615384615,0,1,2
25.5,25.63,24.94,25.81,155,235,71,55,0.5,0.49,0.14,0.11,525,3.59615384615,1,1,2
25.5,25.63,24.94,25.81,155,234,73,56,1.02,0.29,0.16,0.13,530,3.73846153846,1,1,2
25.5,25.56,24.94,25.81,155,234,72,55,0.49,0.23,0.19,0.15,540,3.86538461538,1,1,2
25.5,25.63,24.94,25.81,155,235,73,56,0.29,0.51,0.19,0.09,540,3.92307692308,1,0,2
25.5,25.63,24.94,25.81,155,234,73,56,0.33,0.19,0.11,0.13,545,3.90769230769,1,0,2
25.56,25.63,24.94,25.81,155,234,73,56,0.15,0.26,0.22,0.07,545,3.86538461538,1,0,2
25.56,25.69,25,25.94,155,234,74,56,0.63,0.15,0.09,0.06,545,3.75,0,0,2
25.56,25.69,25,25.81,155,233,73,56,0.08,0.14,0.06,0.06,550,3.60769230769,0,0,2
25.5,25.69,24.94,25.81,155,233,73,56,0.17,0.14,0.15,0.07,550,3.48846153846,0,0,2
25.56,25.69,25,25.81,155,233,73,56,1.81,0.28,0.06,0.1,550,3.3,0,1,2
25.56,25.69,25,25.81,155,233,74,56,0.63,0.42,0.15,0.13,555,3.23846153846,1,1,2
25.56,25.69,25,25.81,155,233,74,57,0.68,0.82,0.19,0.12,555,3.16538461538,1,0,2
25.56,25.75,25,25.81,155,233,74,57,0.32,0.43,0.16,0.11,555,3.03461538462,1,1,2
25.56,25.75,25,25.81,155,233,75,57,1.16,0.27,0.09,0.07,555,2.89615384615,1,1,2
25.56,25.75,25,25.88,155,232,74,57,0.45,0.17,0.13,0.14,560,2.8,1,1,1
25.56,25.69,25,25.88,155,233,74,56,0.31,0.5,0.27,0.06,560,2.75,1,0,1
25.56,25.75,25,25.88,155,233,74,56,0.5,0.1,0.11,0.08,560,2.65384615385,1,0,2
25.56,25.69,25,25.88,155,232,75,58,1.33,1.54,0.42,0.2,560,2.51153846154,1,1,2
25.56,25.75,25,25.94,155,232,75,58,0.54,0.78,0.29,0.21,565,2.36923076923,1,1,2
25.56,25.75,25,25.88,155,232,75,58,0.41,1.05,0.29,0.17,570,2.32307692308,1,1,2
25.56,25.69,25,25.94,151,232,75,58,2.12,1.03,0.16,0.46,570,2.23076923077,1,1,2
25.56,25.94,25,25.94,155,239,75,58,0.44,3.44,0.67,0.36,570,2.14230769231,1,1,2
25.56,26.38,25,25.94,156,243,75,58,0.92,1.27,0.65,0.83,580,2.10384615385,1,1,2
25.56,26.81,25,25.94,155,242,75,57,0.37,1.96,0.98,0.11,580,2.01538461538,1,1,2
25.56,26.81,25.06,25.88,155,242,75,56,0.55,0.9,0.23,0.32,585,1.97307692308,1,1,2
25.56,27,25,25.94,155,238,74,57,0.44,0.6,0.49,0.19,590,1.97692307692,1,1,2
25.56,26.94,25.06,26,155,243,73,56,0.43,1.03,0.22,0.15,585,1.93461538462,1,1,2
25.56,27.19,25.06,25.88,156,243,71,57,0.37,0.1,0.22,0.06,590,1.99615384615,0,0,2
25.56,27.25,25,25.94,156,243,74,58,0.22,0.06,0.06,0.06,590,2.01923076923,0,0,2
25.56,27.44,25.06,26,156,244,75,58,0.1,0.05,0.06,0.06,600,2.14615384615,0,0,2
25.56,27.5,25.06,26,157,244,75,58,0.09,0.05,0.05,0.06,600,2.23076923077,0,0,2
25.56,27.56,25.06,26,157,244,75,58,0.09,0.07,0.08,0.07,595,2.22692307692,0,0,2
25.56,27.75,25.06,26,156,244,75,58,0.7,0.1,0.08,0.09,605,2.32692307692,1,0,2
25.56,27.94,25.06,25.94,157,244,75,59,1.93,0.15,0.11,0.06,595,2.29230769231,1,0,2
25.56,27.69,25.06,26.06,157,244,77,59,0.15,0.12,0.06,0.08,595,2.22307692308,0,0,2
25.56,27.5,25.06,26,157,244,76,59,0.15,0.6,0.09,0.06,590,2.12307692308,1,0,2
25.56,27.44,25.06,26.06,156,244,75,59,0.26,0.1,0.06,0.09,590,1.99615384615,1,0,2
25.56,27.56,25.06,26,157,244,76,59,1.32,0.29,0.08,0.08,590,1.84230769231,1,0,2
25.56,27.38,25.06,25.94,157,244,77,59,0.25,0.3,0.15,0.15,590,1.66153846154,1,0,2
25.63,27.31,25.06,25.94,157,244,76,59,0.48,0.08,0.08,0.07,595,1.55,1,0,2
25.63,27.31,25.06,25.94,157,244,76,59,0.88,0.12,0.08,0.11,595,1.41153846154,1,0,2
25.63,27.38,25.06,25.94,157,244,76,59,0.86,0.06,0.29,0.17,595,1.24615384615,0,0,2
25.63,27.38,25.13,25.94,157,244,77,59,0.07,0.21,0.2,0.06,600,1.1,1,0,2
25.63,27.44,25.06,25.94,157,244,76,59,0.07,0.05,0.05,0.06,610,1.06538461538,0,0,2
25.63,27.38,25.06,25.94,157,244,78,60,0.2,0.05,0.06,0.06,605,1,0,0,2
25.63,27.44,25.06,25.94,157,245,79,60,0.74,0.15,0.12,0.13,610,0.953846153846,1,0,2
25.63,27.56,25.06,25.94,156,244,79,60,0.63,0.28,0.2,0.14,615,0.923076923077,1,0,2
25.63,27.5,25.06,25.94,156,244,79,60,0.43,0.42,0.17,0.18,615,0.957692307692,1,0,2
25.69,27.56,25.06,25.88,157,244,79,60,0.79,0.56,0.2,0.16,620,1.01153846154,0,0,2
25.63,27.5,25.06,25.94,157,243,80,61,0.69,0.53,0.2,0.36,625,1.13076923077,1,1,2
25.63,27.56,25.06,25.94,156,244,80,60,1.55,0.77,0.47,0.19,630,1.31538461538,1,1,2
25.63,27.63,25.13,26,156,244,78,60,0.54,0.8,0.3,0.14,630,1.41923076923,1,0,2
25.63,27.63,25.13,25.94,157,244,79,60,0.63,0.57,0.18,0.15,630,1.53846153846,1,0,2
25.63,27.81,25.13,26,157,244,78,59,0.96,0.64,0.19,0.22,630,1.62692307692,1,1,2
25.63,28,25.13,26,156,241,77,59,1.05,1.01,0.31,0.21,625,1.73846153846,0,1,2
25.69,28.19,25.13,26,156,240,76,59,0.49,0.79,0.24,0.19,625,1.83076923077,0,0,2
25.69,28.13,25.13,25.94,156,244,77,59,0.73,0.79,0.28,0.19,630,1.9,0,1,2
25.69,28.06,25.13,26,156,243,77,59,0.81,0.42,0.28,0.21,630,2.04230769231,1,0,2
25.69,27.88,25.13,26,156,240,79,60,0.88,0.66,0.29,0.21,625,2.01923076923,1,1,2
25.69,27.81,25.13,26,156,241,79,60,0.71,0.4,0.22,0.16,635,2.06538461538,1,1,2
25.69,27.75,25.13,26,155,239,79,59,0.72,0.66,0.24,0.21,635,2.03076923077,1,1,2
25.69,27.94,25.13,26.06,155,242,77,60,0.52,0.7,0.69,0.2,635,1.96153846154,1,1,2
25.63,28,25.13,26.06,156,243,78,60,0.71,0.69,0.25,0.17,630,1.81153846154,1,1,2
25.69,28.19,25.13,26.06,156,243,79,61,0.75,0.55,0.61,0.17,635,1.67692307692,1,0,2
25.69,28.13,25.13,26.06,157,244,80,61,0.21,0.27,0.13,0.14,635,1.55769230769,1,0,2
25.69,28.13,25.13,26.06,156,244,80,62,0.62,0.12,0.24,0.07,635,1.40769230769,1,0,2
25.69,28.19,25.13,26.06,155,243,80,59,0.83,0.17,0.06,0.12,635,1.22692307692,1,0,2
25.69,28.19,25.13,26.06,155,242,78,59,0.19,0.4,0.21,0.12,640,1.11153846154,1,0,2
25.69,28.13,25.13,26.06,155,242,77,60,0.18,0.06,0.07,0.07,645,1.11153846154,0,0,2
25.69,28,25.19,26.06,156,244,80,61,0.5,0.26,0.24,0.15,650,1.08076923077,1,0,2
25.69,28.13,25.13,26,156,244,81,63,1.53,0.37,0.18,0.08,645,1.01923076923,1,0,2
25.69,28.13,25.13,26,157,244,82,63,0.8,0.37,0.14,0.18,650,1.02692307692,0,0,2
25.69,28.31,25.13,26,156,243,81,63,0.62,0.7,0.24,0.16,640,0.915384615385,0,0,2
25.69,28.31,25.19,26,157,244,81,62,0.33,0.41,0.2,0.1,640,0.834615384615,1,0,2
25.69,28.38,25.13,26.06,157,244,80,62,2.36,0.63,0.46,0.37,645,0.834615384615,1,0,2
25.69,28.5,25.19,26.06,156,244,80,61,0.25,0.23,0.24,0.06,645,0.869230769231,0,0,2
25.69,28.5,25.19,26,156,244,80,61,0.64,0.17,0.12,0.08,640,0.846153846154,0,0,2
25.69,28.5,25.19,26.06,156,243,80,60,0.08,0.05,0.06,0.06,645,0.861538461538,0,0,2
25.69,28.44,25.19,26,155,242,79,60,0.08,0.07,0.05,0.06,640,0.819230769231,0,0,2
25.75,28.38,25.19,26.06,155,242,78,60,0.13,0.1,0.06,0.07,645,0.765384615385,0,0,2
25.69,28.25,25.19,26,156,242,79,62,0.09,0.11,0.09,0.06,645,0.696153846154,0,0,2
25.69,28.44,25.19,26,156,244,81,62,0.5,0.13,0.11,0.07,640,0.615384615385,1,0,2
25.69,28.38,25.19,26.06,156,243,80,61,0.8,0.21,0.16,0.14,640,0.526923076923,1,0,2
25.69,28.38,25.19,26,155,242,190,60,0.57,0.15,0.77,0.19,645,0.426923076923,1,0,2
25.69,28.44,25.19,26,156,244,190,64,1.12,0.49,0.77,0.25,645,0.411538461538,1,1,3
25.75,28.56,25.19,26.06,158,245,205,65,0.91,0.29,2.83,0.29,650,0.434615384615,1,1,3
25.75,28.56,25.25,26.06,159,246,214,66,0.55,0.23,1.01,0.48,645,0.4,1,1,3
25.75,28.63,25.25,26.06,159,246,220,63,0.58,0.5,3.64,0.62,655,0.4,1,1,3
25.75,28.56,25.31,26.06,159,244,224,65,0.83,0.36,2.15,0.85,655,0.430769230769,1,1,3
25.75,28.44,25.31,26.06,159,247,224,64,2.62,0.82,2.15,0.43,660,0.492307692308,1,1,3
25.75,28.31,25.31,26,158,244,222,65,0.7,0.35,0.5,0.47,660,0.534615384615,1,1,3
25.75,28.5,25.31,26.06,158,244,217,65,0.72,0.49,0.93,0.45,655,0.511538461538,1,1,3
25.81,28.69,25.31,26.13,159,245,217,65,2.88,0.57,0.93,0.2,660,0.569230769231,1,1,2
25.75,28.69,25.31,26.06,159,245,216,65,0.62,0.74,0.19,0.13,665,0.707692307692,1,0,2
25.75,28.63,25.31,26.06,160,244,216,65,0.36,0.4,0.19,0.22,665,0.880769230769,1,1,2
25.81,28.81,25.31,26.06,160,244,223,67,0.79,0.46,3.63,0.43,670,1.03846153846,1,1,3
25.81,28.75,25.31,26.06,160,244,225,68,0.51,0.92,1.32,0.26,680,1.31923076923,1,1,3
25.81,28.88,25.31,26.06,160,244,224,67,0.95,0.84,1.61,0.36,675,1.43076923077,1,1,3
25.81,28.81,25.38,26.06,160,244,224,67,1.01,0.79,0.96,0.65,675,1.51538461538,1,1,3
25.81,28.81,25.38,26.13,160,243,215,66,2.04,0.62,3.64,3.4,675,1.62307692308,1,1,3
25.81,28.94,25.38,26.13,160,243,223,65,0.95,3.44,3.65,1.03,675,1.70769230769,1,1,3
25.81,28.94,25.31,26.13,160,243,222,66,0.96,0.91,0.25,0.28,685,1.81153846154,1,1,3
25.81,28.94,25.38,26.13,159,243,222,66,0.58,0.56,3.65,0.27,690,1.97692307692,1,1,3
25.81,29,25.38,26.06,159,243,224,67,3.47,3.34,1.72,3.4,690,2.05769230769,1,1,3
25.81,28.94,25.38,26.06,160,244,223,67,0.45,0.65,1.86,0.5,695,2.19615384615,1,1,3
25.81,28.94,25.38,26.06,160,244,223,67,0.83,0.54,1.41,0.47,695,2.29615384615,1,1,3
25.81,29,25.38,26.06,160,243,221,66,0.57,0.63,0.58,0.23,700,2.35384615385,1,0,3
25.81,28.94,25.38,26.06,159,246,221,66,1.62,0.53,0.88,0.33,695,2.31923076923,1,1,3
25.81,28.81,25.38,26.06,160,247,221,66,0.71,0.37,0.88,0.21,695,2.29230769231,1,1,3
25.94,28.19,25.5,26.19,163,249,229,70,0.68,0.52,2.41,0.31,810,3.28846153846,1,1,3
25.94,28.13,25.5,26.19,164,249,229,70,0.89,0.83,2.56,0.47,810,4.20769230769,1,1,3
25.94,28.13,25.5,26.19,163,249,228,70,0.63,0.29,1.01,0.18,810,4.95384615385,1,1,3
25.94,28.06,25.5,26.13,163,249,229,70,0.53,0.31,0.25,3.4,815,5.71923076923,1,1,3
25.94,28.13,25.5,26.19,163,248,229,70,2.25,3.4,3.66,0.31,815,6.36153846154,1,1,3
25.94,28.25,25.5,26.19,163,247,228,70,0.41,0.26,0.8,0.28,815,6.93076923077,1,1,3
25.94,28.25,25.5,26.13,162,247,228,70,0.35,0.3,0.89,1.35,815,7.38076923077,1,1,3
25.94,28.38,25.56,26.19,162,248,228,70,1.56,1.35,3.66,0.31,820,7.70769230769,0,1,3
25.94,28.19,25.5,26.13,162,247,228,70,0.79,0.81,1.36,1.84,835,8.09615384615,1,0,3
25.94,28.19,25.56,26.13,162,247,227,70,3.3,2.98,3.66,2.43,840,8.44615384615,1,1,3
25.94,28.25,25.56,26.13,162,249,227,70,1.31,2.02,3.66,0.6,840,8.66153846154,1,1,3
25.94,28.38,25.56,26.19,161,249,228,70,0.52,0.42,1.03,0.33,845,8.83846153846,1,1,3
25.94,28.25,25.56,26.13,162,249,228,70,0.41,0.22,0.71,0.26,845,8.98076923077,1,1,3
25.94,28.19,25.56,26.13,163,249,228,69,1.04,0.35,0.8,0.1,845,8.94615384615,1,1,3
25.94,28.13,25.56,26.19,162,246,227,70,0.33,2.11,1.05,0.43,845,8.78076923077,1,0,3
25.94,28.25,25.63,26.19,162,249,226,69,0.45,2.22,1.13,0.32,840,8.43846153846,1,1,3
25.94,28,25.63,26.19,163,250,226,70,0.39,0.54,1.31,0.3,840,7.96923076923,1,1,3
25.94,28,25.63,26.19,163,252,227,70,0.08,0.28,0.14,0.07,845,7.51923076923,0,0,3
26,27.94,25.63,26.19,164,251,228,70,0.2,0.29,0.23,0.12,850,7.04230769231,1,1,3
25.94,28,25.69,26.25,163,252,221,70,1.74,0.65,2,0.43,855,6.48846153846,1,1,3
26,28,25.69,26.19,164,252,225,70,0.61,0.45,3.65,0.87,850,5.81153846154,1,1,3
25.94,27.94,25.69,26.19,163,247,269,69,0.99,0.9,3.01,0.81,850,5.01538461538,1,1,3
26,27.81,25.69,26.19,163,249,267,69,0.69,1.08,2.23,0.55,845,4.10384615385,0,1,3
25.94,27.81,25.69,26.19,163,248,267,68,0.55,0.82,2.23,0.28,845,3.03076923077,1,1,3
25.94,27.75,25.69,26.19,163,251,266,70,0.5,0.69,2.49,0.38,850,1.88846153846,1,1,3
25.94,27.81,25.69,26.19,164,251,267,69,0.78,0.62,3.19,0.92,855,1.82307692308,1,1,3
26,27.75,25.69,26.19,163,252,267,70,1.24,0.84,3.65,0.28,855,1.72307692308,1,1,3
