Source Port,Destination Port,NAT Source Port,NAT Destination Port,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),pkts_sent,pkts_received,Action
57222,53,54587,53,177,94,83,2,30,1,1,allow
56258,3389,56258,3389,4768,1600,3168,19,17,10,9,allow
6881,50321,43265,50321,238,118,120,2,1199,1,1,allow
50553,3389,50553,3389,3327,1438,1889,15,17,8,7,allow
50002,443,45848,443,25358,6778,18580,31,16,13,18,allow
51465,443,39975,443,3961,1595,2366,21,16,12,9,allow
60513,47094,45469,47094,320,140,180,6,7,3,3,allow
50049,443,21285,443,7912,3269,4643,23,96,12,11,allow
52244,58774,2211,58774,70,70,0,1,5,1,0,allow
50627,443,16215,443,8256,1674,6582,31,75,15,16,allow
43676,80,45378,80,696,378,318,12,35,7,5,allow
52190,443,16680,443,7942,870,7072,22,15,10,12,allow
50690,80,20479,80,4805,3639,1166,16,31,9,7,allow
55597,53,45448,53,168,86,82,2,30,1,1,allow
49164,443,45916,443,7292,950,6342,19,75,9,10,allow
36887,443,63451,443,10922,2532,8390,27,28,13,14,allow
1939,53,33288,53,210,78,132,2,30,1,1,allow
50281,53,33175,53,195,102,93,2,30,1,1,allow
57222,53,51448,53,177,94,83,2,30,1,1,allow
56710,53,57885,53,177,94,83,2,30,1,1,allow
48488,443,26104,443,12993,3240,9753,36,24,18,18,allow
50691,80,62082,80,4237,3610,627,15,31,8,7,allow
50693,80,54649,80,4465,3390,1075,14,30,8,6,allow
1940,53,23603,53,210,78,132,2,30,1,1,allow
50172,53,37056,53,211,78,133,2,30,1,1,allow
38802,53,38802,53,216,90,126,2,30,1,1,allow
50281,53,8038,53,195,102,93,2,30,1,1,allow
50051,443,1683,443,7912,3269,4643,23,96,12,11,allow
52192,443,41129,443,13948,1150,12798,29,15,14,15,allow
57886,443,10717,443,33667,25477,8190,60,33,34,26,allow
50289,80,7131,80,7166,1086,6080,18,87,9,9,allow
58615,443,30095,443,6796,1541,5255,23,121,11,12,allow
38551,53,14191,53,168,78,90,2,30,1,1,allow
64787,53,29856,53,728,102,626,2,30,1,1,allow
34529,443,30445,443,62652,30891,31761,158,381,67,91,allow
52184,443,13267,443,13902,3253,10649,26,135,14,12,allow
60377,443,34261,443,8678,2974,5704,50,123,27,23,allow
59347,80,59347,80,108790,4633,104157,192,15,66,126,allow
50077,443,40548,443,7976,3333,4643,23,25,12,11,allow
50149,80,2917,80,11574,901,10673,20,46,11,9,allow
50004,443,10108,443,8745,2603,6142,19,15,11,8,allow
60411,80,48309,80,1589,941,648,11,121,6,5,allow
60354,80,7611,80,644,256,388,8,124,5,3,allow
60399,80,36861,80,1168,815,353,10,122,6,4,allow
60348,80,15161,80,10335,1617,8718,19,124,9,10,allow
60420,80,1065,80,14498,6454,8044,24,120,12,12,allow
60423,443,61729,443,6849,1103,5746,23,120,12,11,allow
60360,443,62556,443,5212,1101,4111,22,123,12,10,allow
60363,443,28558,443,5214,1101,4113,22,123,12,10,allow
9523,443,27776,443,7199,1410,5789,22,33,11,11,allow
63842,45682,31353,45682,4687209,3850148,837061,4974,107,3004,1970,allow
